	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
9588	19.682678	0.658856	12.873215	0.305022	-8.656761	14.295828	18.905958	-4.945789	18.020943	10.450679	1.859462	-19.756546	-1.615221	0.233618	6.216277	-19.908411	9.071048	0.464121	0.464121	1.436550	0.464121	0.464121	0.247682	-0.099738	-0.583095
9589	17.853895	-0.908472	11.026239	0.564620	-10.358233	9.739452	18.326443	-5.218575	16.018341	11.325781	1.009180	-17.842123	-2.377434	1.100371	5.726358	-12.900169	8.582981	0.464121	0.464121	1.429568	0.464121	0.464121	0.335950	-0.143885	-0.057174
9590	15.047015	-2.318157	9.006490	0.635575	-11.281459	5.383869	16.551256	-5.725732	13.622228	11.065653	0.318251	-14.819231	-2.953835	1.398424	6.410921	-3.171394	16.441225	0.464121	0.464121	1.076294	0.464121	0.464121	0.424122	-0.409112	0.114305
9591	12.371890	-3.215620	6.913069	1.087902	-11.683339	2.393539	13.723629	-6.997914	11.507750	9.184742	0.270006	-12.885019	-2.484990	1.324879	5.595881	4.044692	25.337597	0.464121	0.464121	0.464121	0.464121	0.464121	0.247106	-0.055722	0.119398
9592	10.271008	-4.123495	4.922089	1.719890	-11.784349	0.913254	10.574379	-8.865393	9.908752	6.405964	-0.529592	-11.795693	-1.094247	0.690165	3.217001	7.975877	28.110653	0.464121	0.464121	0.464121	0.464121	0.464121	0.379915	-0.454910	0.116711
9593	8.931973	-5.560269	3.461287	2.117724	-11.710070	1.164706	7.945486	-11.003532	8.908423	2.742284	-1.995265	-10.318945	0.836462	-0.360392	0.233657	9.830071	22.242849	0.464121	0.464121	0.464121	0.464121	0.464121	0.246911	-0.276782	-0.585739
9594	7.768692	-8.563033	2.761008	2.118669	-10.908504	2.995081	6.251689	-12.730544	8.894359	-1.182684	-2.942676	-9.001673	3.484085	-1.410223	-3.000003	10.589765	12.912413	0.464121	0.464121	0.464121	0.464121	0.464121	0.379135	-0.056361	0.120483
9595	6.865964	-12.485441	3.016842	1.564366	-9.438272	5.930834	5.600291	-13.004091	9.861426	-3.896168	-3.687993	-8.767692	5.798725	-2.139637	-4.525058	10.824374	6.267277	0.464121	0.464121	0.464121	0.464121	0.464121	0.380153	-0.233199	-0.232380
9596	6.833565	-15.123321	4.508474	0.430319	-7.624498	9.310301	5.715354	-11.406246	10.423327	-6.302038	-3.862275	-9.304731	7.006060	-3.229752	-3.952581	11.558112	3.289488	0.464121	0.464121	0.464121	0.464121	0.464121	0.158876	-0.278703	0.120394
9597	6.819948	-15.084284	6.579219	-1.290814	-5.230439	11.953329	6.228316	-8.461807	10.701329	-8.038690	-3.103239	-10.699083	6.575563	-3.933972	-1.655241	11.645446	3.030529	0.464121	0.464121	0.464121	0.464121	0.464121	0.423937	-0.010300	-0.409048
9598	6.432128	-12.725957	7.505361	-3.039146	-2.535671	12.588631	6.827798	-6.078529	11.028187	-7.378369	-1.642018	-13.478731	3.626571	-3.639192	1.587429	9.628260	3.343232	0.464121	0.464121	0.464121	0.464121	0.464121	0.158441	-0.055508	-0.231838
9599	6.789124	-8.556890	6.681721	-4.624015	0.082616	10.994371	7.219649	-6.922875	11.265653	-4.279222	-1.244273	-16.541876	-0.896145	-2.363614	3.866040	5.966768	4.564369	0.464121	0.464121	0.464121	0.464121	0.464121	0.285731	18.087980	-25.129347
9600	6.486370	-4.214349	4.713264	-6.428123	1.003795	8.254687	7.220703	-10.845014	11.661987	0.090447	-2.369339	-17.720650	-4.773191	-0.263278	3.485145	1.299726	6.161867	0.464121	0.464121	0.464121	0.464121	0.464121	-17.986338	60.391880	-106.635582
9601	5.822238	-0.917627	3.003983	-8.303779	-0.961301	5.962256	7.367584	-14.535305	11.715528	4.466760	-3.699973	-16.988728	-7.555066	1.206686	0.956314	-3.740613	8.483683	0.464121	0.464121	0.464121	0.464121	0.464121	-83.444160	173.192505	-336.489075
9602	5.494088	1.381136	1.604515	-9.945361	-3.277081	3.709544	7.682709	-16.090050	11.295991	7.736506	-4.930232	-15.594383	-9.911072	1.605598	-1.546828	-7.871625	12.475519	0.464121	0.464121	0.464121	0.464121	0.464121	-99.058228	131.098938	-450.378265
9603	5.638396	2.938813	0.341438	-11.710527	-4.527350	1.562435	8.301482	-16.145569	10.661979	7.945584	-4.031903	-14.579711	-11.732220	1.421027	-5.237149	-10.441916	17.393250	0.464121	0.464121	0.464121	0.464121	0.464121	33.075928	25.242731	-554.657288
9604	6.335719	2.131360	-0.860972	-13.528968	-6.222765	-0.260426	9.026352	-15.504669	9.572471	7.713046	-1.989989	-14.289696	-12.570705	1.360989	-10.391011	-10.935088	21.759966	0.464121	0.464121	0.464121	0.464121	0.464121	96.499344	27.278166	-703.805908
9605	7.244689	-0.838002	-1.360103	-12.981305	-8.475772	-1.761283	9.652964	-14.667677	8.647142	10.285021	-1.316334	-13.210171	-12.116070	0.888255	-16.366669	-8.265889	21.793127	0.464121	0.464121	0.464121	0.464121	0.464121	51.176212	92.484428	-876.205505
9606	8.508519	-3.548622	-0.756482	-9.229087	-9.891156	-2.564041	10.165075	-13.866121	8.511828	12.833528	-1.521177	-10.923109	-10.256783	-0.285425	-20.238052	-1.687902	16.845692	0.464121	0.464121	0.464121	0.464121	0.464121	22.924442	175.391251	-945.491089
9607	9.547536	-6.566620	0.197110	-4.270498	-9.622646	-2.752206	10.950334	-12.613411	8.843008	13.430856	-1.502780	-9.093003	-8.742079	-0.528571	-21.173710	7.575630	9.946673	0.464121	0.464121	0.464121	0.464121	0.464121	21.447081	166.681961	-980.455933
9608	9.913733	-9.569043	0.585558	0.198868	-8.573156	-2.888923	12.046496	-10.261972	9.242494	12.776525	-1.987690	-8.526624	-8.725974	0.621042	-21.348434	16.124336	4.333253	0.464121	0.464121	0.464121	0.464121	0.464121	4.945680	171.161896	-1096.315552
9609	10.158212	-10.660356	0.507482	3.824138	-7.414763	-2.869715	12.343928	-7.279761	9.505609	12.363266	-2.488492	-8.477979	-8.078912	2.218580	-22.465523	22.087851	1.250798	0.464121	0.464121	0.464121	0.464121	0.464121	9.458930	171.529068	-1233.277222
9610	10.428061	-10.363929	0.205912	6.620496	-6.809523	-2.415193	11.298336	-4.876538	9.980467	11.786081	-2.474397	-8.438234	-6.617307	3.266429	-23.434677	25.424427	2.343243	0.464121	0.464121	0.466471	0.464121	0.464121	19.992731	150.914841	-1328.051025
9611	10.366570	-10.187173	-0.009521	8.457454	-6.274757	-1.266094	9.500902	-4.287832	10.723372	11.010774	-2.422493	-8.915330	-5.337766	3.689323	-23.251257	25.943886	5.745653	0.464121	0.464121	0.579223	0.464121	0.464121	19.305113	137.320953	-1403.055786
9612	9.817383	-10.130604	-0.087550	9.377900	-5.197827	-0.030177	7.407649	-5.120770	11.186325	10.286392	-2.843279	-9.440084	-4.418903	3.477805	-21.514753	24.620773	9.356095	0.464121	0.464121	1.436550	0.464121	0.464121	3.690177	121.910637	-1464.814453
9613	8.912888	-9.893629	-0.165649	9.439518	-3.610529	0.721533	5.468292	-5.937741	11.562566	9.708611	-3.194500	-9.764573	-3.675640	3.141741	-17.638462	21.491228	11.825282	0.464121	0.464121	1.447661	0.464121	0.464121	-10.899508	97.672516	-1510.444214
9614	7.953535	-9.213322	-0.246796	8.531178	-2.193990	0.793097	4.103773	-5.137880	11.393397	9.204124	-3.549083	-9.806517	-3.284734	2.959185	-12.378815	16.979109	12.820586	0.464121	0.464121	2.050313	0.464121	0.464121	-21.783695	86.868225	-1554.524536
9615	7.184965	-7.891861	-0.355065	6.602807	-1.583922	0.359118	4.123073	-2.835735	10.644342	8.719361	-3.941888	-9.433314	-2.864038	2.900579	-6.806043	12.179553	12.392172	0.464121	0.464121	11.046842	0.464121	0.464121	-27.755283	76.355865	-1566.974365
9616	6.598368	-6.098647	-0.329282	3.937752	-2.216151	-0.108641	5.435569	-0.634299	9.816365	8.019288	-4.364244	-8.774869	-2.040067	2.576502	-1.644501	8.139112	11.159664	0.464121	0.464121	50.809887	0.464121	0.464121	-28.787994	53.870991	-1549.400146
9617	6.657372	-3.716717	0.126212	1.117282	-3.532254	0.075982	7.105548	-0.758617	9.507779	7.365179	-4.672637	-8.215543	-1.157179	2.050669	2.391795	5.257823	8.067372	0.464121	0.464121	110.783134	0.464121	0.464121	-26.721491	43.445255	-1532.538696
9618	7.944517	-1.290467	1.149900	-1.124584	-3.008309	0.891666	7.777717	-3.426904	10.091000	6.899474	-4.901248	-8.199717	-0.564884	1.129955	4.954287	4.563264	2.800072	0.464121	0.464121	139.930984	0.464121	0.464121	-26.617968	33.774994	-1510.951660
9619	10.309221	1.308666	3.533067	-2.765898	-0.941334	3.811935	6.518651	-6.473130	11.707365	6.501400	-4.969610	-8.834524	0.224230	-0.433327	6.091194	5.343637	-3.538632	0.464121	0.464121	151.628860	0.464121	0.464121	-28.507587	10.536538	-1474.164429
9620	13.725243	3.239625	7.803447	-4.527551	1.065901	9.897968	4.804046	-7.916138	14.061582	5.751830	-4.613894	-9.937139	1.390646	-2.122268	7.984191	7.558960	-9.488792	0.464121	0.464121	170.558029	0.464121	0.464121	-23.304825	-16.591576	-1424.203613
9621	17.951582	4.292605	14.367990	-6.514521	2.149713	17.404341	3.211736	-7.649538	16.937717	4.654876	-4.072685	-11.471984	2.384255	-4.283534	11.024674	8.608635	-14.297312	0.464121	0.464121	177.000778	0.464121	0.464121	-18.109886	-30.868212	-1369.866699
9622	19.847134	4.861078	19.231722	-8.502365	4.007490	19.755585	1.969435	-6.696500	19.584476	3.160194	-3.611481	-13.813941	4.075253	-7.350990	17.137865	5.992875	-16.425312	0.464121	0.464121	164.764206	0.464121	0.464121	-13.028248	-48.090080	-1303.689575
9623	20.136080	5.845029	20.037840	-10.300550	5.955511	20.132269	-0.339546	-4.325200	20.087914	0.738225	-1.915075	-17.002069	7.043028	-10.728766	32.593056	-0.842579	-11.228349	0.464121	0.464121	143.304337	0.464121	0.464121	-9.558935	-67.737251	-1229.503662
9624	20.090406	7.889238	20.130817	-8.731597	3.150603	20.148367	-7.697565	-0.019593	20.125526	-3.249012	0.917795	-19.440952	10.569171	-13.908850	68.761238	-18.599672	-10.322368	0.464121	0.464121	133.237946	0.464121	0.464121	-6.444774	-84.451653	-1148.981079
9625	17.639299	11.203986	19.632792	-4.261328	-1.868664	20.183319	-10.965345	5.730196	19.204666	-6.096957	2.297143	-19.318457	14.210213	-17.405247	101.637985	-23.092375	1.222329	0.464121	0.464121	129.842850	0.464121	0.464121	-3.569164	-100.711502	-1060.945801
9626	15.185612	13.088334	19.534805	0.717617	-3.906309	20.151697	-3.685721	9.428037	14.870408	-5.618944	0.127225	-13.688559	17.009335	-19.615286	108.481941	-20.363775	-16.788578	0.464121	0.464121	122.403702	0.464121	0.464121	-1.395789	-112.803009	-967.250671
9627	13.443628	13.558742	20.051689	4.511682	-3.811636	20.183208	4.040471	8.833285	11.781631	-3.452164	-3.363648	-5.757490	18.104658	-20.073357	95.286438	-21.855648	7.808406	0.464121	0.464121	110.266853	0.464121	0.464121	1.171242	-121.519386	-867.747498
9628	11.872536	13.754908	20.144068	5.614607	-3.478865	20.187019	8.889612	4.374605	9.654570	-2.607183	-4.042148	-0.825363	16.172495	-19.892475	81.164070	-26.708677	14.805663	0.464121	0.464121	95.154373	0.464121	0.464121	4.587296	-124.158096	-764.854370
9629	10.392013	14.807380	20.181433	4.872883	-3.588306	20.187019	12.181267	-0.534809	7.402334	-4.073774	-3.110872	1.355996	13.009855	-18.265928	73.084656	-29.775726	8.675876	0.464121	0.464121	78.952568	0.464121	0.464121	7.872227	-122.808136	-658.584229
9630	9.349458	17.069603	20.153578	2.429873	-4.109797	20.187019	14.314485	-2.656856	5.945223	-6.592792	-1.949541	3.399046	11.130474	-17.596310	70.600914	-25.845562	0.566298	0.464121	0.464121	63.342159	0.464121	0.464121	10.321275	-117.833038	-553.486450
9631	8.173762	18.099165	20.180494	-0.338948	-4.218062	20.187019	13.550941	-1.842399	5.531162	-8.385214	-0.800966	5.372590	10.770625	-18.437527	58.564220	-19.854284	-6.853574	0.464121	0.464121	43.025925	0.464121	0.464121	10.779655	-110.526398	-452.718872
9632	7.061579	18.514055	20.154509	-2.324876	-4.089720	20.187019	11.252518	-0.325414	5.489571	-9.379193	-0.526475	6.259419	10.875159	-19.561207	50.172375	-19.858376	-8.103148	0.464121	0.464121	23.732382	0.464121	0.464121	11.204035	-99.467888	-356.967529
9633	5.855510	18.656315	20.179564	-3.190558	-3.890494	20.187019	8.953184	0.234848	5.413584	-9.547176	-0.263010	6.783282	12.101292	-19.489202	55.534126	-20.028393	-1.901847	0.464121	0.464121	12.742021	0.464121	0.464121	9.832354	-84.446342	-270.412781
9634	4.032359	18.277636	20.155443	-2.987619	-3.265127	20.187019	6.699862	1.044726	4.917170	-9.298090	0.637763	6.693023	13.232607	-18.059515	63.625816	-19.680807	4.653314	0.464121	0.464121	8.712199	0.464121	0.464121	8.296820	-68.558899	-194.853668
9635	2.157669	17.397310	20.178629	-2.648780	-2.190358	20.187019	3.579291	2.144285	4.431431	-9.113466	2.146748	5.877417	13.462791	-15.444885	69.116478	-17.647966	11.610908	0.464121	0.464121	5.830861	0.464121	0.464121	6.819231	-52.924210	-137.476059
9636	0.808051	16.510811	20.156366	-3.097239	-1.437331	20.187019	0.128206	2.450796	4.132497	-8.952825	3.136668	4.346707	13.441292	-11.869875	62.821701	-10.042657	18.645950	0.464121	0.464121	2.987408	0.464121	0.464121	3.981046	-35.940750	-92.313103
9637	0.402122	15.423936	20.137123	-4.313644	-1.154219	20.163723	-2.449484	1.925110	4.366264	-8.606680	3.153188	2.776835	13.494309	-8.884837	49.839821	-3.001671	23.364849	0.464121	0.464121	1.647356	0.464121	0.464121	2.154895	-25.349964	-57.024326
9638	0.521553	13.822509	18.452908	-5.856724	-1.330036	19.187870	-3.313245	1.511139	5.209743	-8.036503	2.689058	1.837725	13.554075	-7.162749	40.681767	-2.095212	27.124266	0.464121	0.464121	1.417837	0.464121	0.464121	1.431725	-18.975279	-31.596064
9639	1.104948	12.787569	15.671696	-7.200356	-1.810832	16.756346	-2.819829	1.741560	6.362218	-7.537301	2.365320	1.566231	14.066097	-6.594386	36.081757	-2.253927	28.570314	0.464121	0.464121	0.698191	0.464121	0.464121	0.369474	-11.333684	-15.760347
9640	1.738705	12.024130	13.665324	-7.802470	-2.262688	14.260319	-1.961192	2.604036	7.444256	-7.271909	2.600581	1.413710	14.440133	-6.513863	35.743771	-1.710346	29.585424	0.464121	0.464121	0.464121	0.464121	0.464121	0.818180	-5.024752	-5.541087
9641	1.981192	11.164450	12.911718	-6.793706	-2.456709	12.576471	-1.477521	3.610512	8.110122	-6.926543	3.241875	1.018075	13.814450	-6.328000	36.775352	-1.776168	30.087152	0.464121	0.464121	0.464121	0.464121	0.464121	0.422151	-1.386443	-0.244980
9642	1.923950	10.174574	12.676592	-4.704899	-2.449340	11.503867	-1.411244	4.308776	8.253623	-6.331198	3.575427	0.264054	12.539322	-5.626551	38.162193	-1.308598	27.916647	0.464121	0.464121	0.482007	0.464121	0.464121	0.380099	-0.010592	0.820835
9643	1.689543	8.896543	12.286533	-2.181541	-2.013527	10.566655	-1.424318	4.808398	8.140561	-5.478368	3.460142	-0.582986	11.317369	-4.369875	39.380207	0.278691	21.642605	0.464121	0.464121	1.138259	0.464121	0.464121	0.600881	0.168868	0.818338
9644	1.227922	7.131696	11.445279	0.289868	-1.294172	9.600761	-1.509364	5.221552	7.957512	-4.833648	3.171394	-0.983139	10.719053	-2.788470	40.243286	3.489001	11.744161	0.464121	0.464121	0.756550	0.464121	0.464121	0.467885	0.167655	0.820717
9645	0.882871	5.795987	9.946184	2.485161	-0.677260	8.565232	-1.709278	5.609678	7.789535	-4.887302	2.890574	-0.581691	11.094487	-1.777400	41.108280	8.043089	-0.809346	0.464121	0.464121	0.481469	0.464121	0.464121	0.557182	-0.010315	0.996261
9646	1.032323	5.414966	7.930429	4.317124	-0.161140	7.298357	-2.002283	5.917075	7.629298	-5.294343	2.782330	0.511840	11.991464	-1.629759	36.948257	14.388628	-10.677933	0.464121	0.464121	1.120924	0.464121	0.464121	0.467924	-0.011957	0.822777
9647	1.237872	6.021402	5.570152	5.715467	0.210349	5.932070	-2.525342	6.079975	7.318779	-5.307034	2.931439	1.922226	12.279605	-2.005361	33.203064	19.874535	-18.742416	0.464121	0.464121	1.436550	0.464121	0.464121	0.246462	-0.231755	0.640796
9648	1.785554	7.071766	2.937716	6.800406	0.339081	4.533159	-3.199806	5.995943	7.032133	-4.715938	3.342291	3.068102	11.494010	-2.367872	29.828217	20.764315	-21.276136	0.464121	0.464121	1.436550	0.464121	0.464121	0.601044	0.211991	0.821215
9649	2.306214	7.632719	0.440177	7.460782	0.244612	2.838870	-3.852979	5.975604	6.823264	-3.564740	3.725941	3.007038	9.374484	-2.054307	29.269321	18.665102	-20.278833	0.464121	0.464121	1.436550	0.464121	0.464121	0.422039	-0.009541	0.641593
9650	2.427752	7.347031	-1.686950	7.905505	-0.183321	0.556560	-4.531323	5.977377	6.632058	-2.510652	4.123597	1.823960	6.604572	-0.693288	27.880850	15.651614	-22.634138	0.464121	0.464121	1.436550	0.464121	0.464121	0.601793	0.078513	0.294563
9651	2.540854	7.142795	-3.481159	8.381389	-0.739845	-2.075466	-5.408780	5.862933	6.584662	-2.154156	4.069508	0.736262	4.031217	0.828755	23.492733	15.142122	-29.146652	0.464121	0.464121	1.420969	0.464121	0.464121	0.201767	-0.054148	1.520015
9652	2.974371	7.441496	-5.113669	8.810303	-1.102314	-4.710724	-6.568255	5.607036	6.695202	-2.347796	3.269773	0.659151	1.903103	1.086918	18.084211	18.531504	-34.612026	0.464121	0.464121	0.865385	0.464121	0.464121	0.336648	0.033491	0.295808
9653	3.557276	7.817612	-6.773878	8.941152	-0.742371	-6.938714	-7.593595	5.128236	6.850685	-2.487572	2.347991	0.889190	0.166378	-0.355564	14.193545	22.826735	-35.102276	0.464121	0.464121	1.024166	0.464121	0.464121	0.247096	0.032885	-0.230145
9654	4.046777	8.179241	-8.115475	8.806292	0.134530	-8.431070	-8.246705	4.427842	6.991841	-2.445466	1.809299	0.543589	-1.262926	-3.611525	8.743907	22.772799	-31.643400	0.464121	0.464121	0.872956	0.464121	0.464121	0.335628	-0.188500	0.644426
9655	4.324505	8.712893	-8.871284	8.423808	1.258104	-8.959812	-8.778184	3.623216	7.405642	-2.510865	1.690004	-0.302054	-2.188903	-7.594566	1.733323	19.768379	-24.931999	0.464121	0.464121	0.464121	0.464121	0.464121	0.468484	-0.054439	0.819214
9656	4.677472	9.663987	-9.357783	6.834194	2.778464	-8.508315	-9.382057	2.727962	8.233325	-3.001364	2.014264	-1.394331	-2.096411	-10.617785	-3.954947	15.948599	-13.809770	0.464121	0.464121	0.464121	0.464121	0.464121	0.378205	-0.364333	0.989837
9657	5.160963	10.781989	-9.874116	4.300437	4.050392	-7.559207	-9.733961	1.423133	9.434952	-3.946835	2.570297	-2.831690	-0.298599	-12.263665	-9.496713	4.413446	-8.827010	0.464121	0.464121	0.464121	0.464121	0.464121	0.468677	0.033675	-0.231522
9658	5.545175	11.619336	-10.608096	2.065417	5.269978	-7.122324	-9.451655	-0.290651	11.220220	-5.453089	3.468838	-4.822848	2.942029	-12.285783	-18.017097	-14.156981	-10.821298	0.464121	0.464121	0.464121	0.464121	0.464121	0.512353	0.431985	0.650398
9659	5.862730	12.047671	-11.458951	0.206725	6.950198	-7.458160	-8.811269	-1.682637	13.354024	-7.855868	4.509266	-7.704352	6.079800	-10.735820	-26.378948	-27.019670	-4.020858	0.464121	0.464121	0.464121	0.464121	0.464121	0.292644	-0.011869	-0.053148
9660	6.377863	11.930545	-12.048792	-1.175549	8.574508	-6.976572	-8.291931	-2.311068	15.049471	-11.307678	5.224144	-11.265241	8.179602	-8.742985	-28.592852	-24.782885	11.195141	0.464121	0.464121	0.464121	0.464121	0.464121	0.113493	0.078647	0.994343
9661	7.168666	11.095184	-11.355114	-1.755542	9.620041	-4.617814	-7.312197	-3.112494	15.979677	-15.397326	5.697769	-15.182286	9.298862	-7.360394	-23.128757	-9.300415	22.944271	0.464121	0.464121	0.464121	0.464121	0.464121	0.023566	-0.276624	1.342015
9662	7.719442	9.340030	-7.891175	-1.779809	7.956600	-1.541894	-4.909420	-5.169053	16.362246	-18.633097	6.315758	-18.445110	8.864059	-7.190321	-12.437488	9.767039	24.219992	0.464121	0.464121	0.464121	0.464121	0.464121	0.425728	-0.011981	-0.227503
9663	7.776717	7.343888	-2.341767	-0.992611	3.155696	0.992843	-0.923077	-8.103787	16.099310	-19.942120	7.765323	-18.843882	6.920260	-7.910000	-4.129404	21.175089	18.489237	0.464121	0.464121	0.464121	0.464121	0.464121	-0.018182	0.253076	0.300336
9664	6.780597	6.716761	2.869057	1.139482	-1.372715	3.044510	4.588496	-10.990713	14.308775	-20.143360	9.755277	-16.818508	5.603079	-8.795176	-3.483244	20.928797	15.240772	0.464121	0.464121	0.464121	0.464121	0.464121	0.558836	0.299331	0.475328
9665	4.262648	7.214143	6.332210	3.847841	-4.274836	4.980597	11.733089	-14.382862	10.705625	-20.142523	10.554238	-14.577068	5.843558	-9.506371	-6.308789	15.334974	12.045227	0.464121	0.464121	0.464121	0.464121	0.464121	0.425408	0.033005	-0.229571
9666	1.535880	7.603724	7.416339	5.617461	-6.675375	6.230597	17.768095	-18.060507	6.492603	-19.756308	9.036794	-12.246587	6.640890	-9.306270	-7.542775	8.403419	7.359277	0.464121	0.464121	0.464121	0.464121	0.464121	0.644943	-0.053671	0.817380
9667	-0.904695	7.418131	7.151567	4.911425	-9.636397	6.962066	19.835497	-19.509695	2.951012	-18.443676	6.583790	-9.647882	7.496631	-7.421726	-6.888813	1.409829	7.118840	0.464121	0.464121	0.464121	0.464121	0.464121	0.644990	-0.097670	1.343022
9668	-2.769961	7.098391	8.947927	0.544566	-14.114667	8.353728	20.124735	-16.882992	0.824823	-15.810964	4.396497	-7.037107	8.660312	-4.522282	-4.924017	-0.626717	6.753098	0.464121	0.464121	0.464121	0.464121	0.464121	0.293049	0.077204	0.122352
9669	-2.774305	6.793148	14.232855	-5.263468	-18.523384	9.781363	20.160328	-12.013277	-0.062014	-14.449248	2.718214	-4.309693	10.387588	-3.106045	-2.171501	1.706526	1.627361	0.464121	0.464121	0.464121	0.464121	0.464121	0.380043	-0.143336	-0.584960
9670	-2.171794	5.569095	18.920790	-8.054812	-19.978745	9.004817	20.050587	-10.377504	0.192581	-16.673407	4.070516	-2.694552	11.777138	-3.892371	0.339819	1.488151	-0.788776	0.464121	0.464121	0.464121	0.464121	0.464121	0.468218	0.079564	1.169829
9671	-1.975405	5.691638	19.909748	-7.397097	-20.154354	4.018312	18.803822	-11.655558	1.635351	-18.698298	7.616210	-3.398989	12.630342	-5.377590	0.916324	0.283047	1.927350	0.464121	0.464121	0.464121	0.464121	0.464121	0.378354	-0.097911	1.518211
9672	-1.219872	6.274981	18.336828	-6.153830	-19.887236	-2.388282	14.692345	-12.102163	2.417430	-18.656416	10.201799	-4.673448	12.418332	-6.572551	-0.986094	4.505481	2.236882	0.464121	0.464121	0.464121	0.464121	0.464121	0.601177	0.387721	-0.226855
9673	-0.515165	7.154788	13.104595	-6.408778	-18.981218	-6.763400	7.709273	-9.902304	2.258604	-16.169456	9.906922	-5.342828	11.594695	-7.181331	-3.463042	12.593136	1.627469	0.464121	0.464121	0.464121	0.464121	0.464121	0.113863	-0.099696	0.293502
9674	-0.130416	9.099908	5.835009	-6.643812	-18.613728	-9.330259	-0.829985	-3.390984	2.091029	-14.824145	4.432218	-4.334149	12.330893	-6.916056	-5.540392	16.560642	1.205938	0.561236	0.464121	0.464121	0.464121	0.464121	0.201416	-0.187630	0.817361
