	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d
	LEFT FOOT ON	RIGHT FOOT ON	ANALOGTIME	FRAMES	TIME
	EVENT_LABEL	EVENT_LABEL	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
682			4.59675	682	4.59675
683			4.6035	683	4.6035
684			4.61025	684	4.61025
685			4.617	685	4.617
686			4.62375	686	4.62375
687			4.6305	687	4.6305
688			4.63725	688	4.63725
689			4.644	689	4.644
690			4.65075	690	4.65075
691			4.6575	691	4.6575
692			4.66425	692	4.66425
693			4.671	693	4.671
694			4.67775	694	4.67775
695			4.6845	695	4.6845
696			4.69125	696	4.69125
697			4.698	697	4.698
698			4.70475	698	4.70475
699			4.7115	699	4.7115
700			4.71825	700	4.71825
701			4.725	701	4.725
702			4.73175	702	4.73175
703			4.7385	703	4.7385
704			4.74525	704	4.74525
705			4.752	705	4.752
706			4.75875	706	4.75875
707			4.7655	707	4.7655
708			4.77225	708	4.77225
709			4.779	709	4.779
710			4.78575	710	4.78575
711			4.7925	711	4.7925
712			4.79925	712	4.79925
713			4.806	713	4.806
714			4.81275	714	4.81275
715			4.8195	715	4.8195
716			4.82625	716	4.82625
717			4.833	717	4.833
718			4.83975	718	4.83975
719			4.8465	719	4.8465
720			4.85325	720	4.85325
721			4.86	721	4.86
722			4.86675	722	4.86675
723			4.8735	723	4.8735
724			4.88025	724	4.88025
725			4.887	725	4.887
726			4.89375	726	4.89375
727			4.9005	727	4.9005
728			4.90725	728	4.90725
729			4.914	729	4.914
730			4.92075	730	4.92075
731			4.9275	731	4.9275
732			4.93425	732	4.93425
733			4.941	733	4.941
734			4.94775	734	4.94775
735			4.9545	735	4.9545
736			4.96125	736	4.96125
737			4.968	737	4.968
738			4.97475	738	4.97475
739			4.9815	739	4.9815
